Land Niederösterreich                   ;1.284.727;
WK Weinviertel                          ;238.268;
WK Waldviertel                          ;181.369;
WK Mostviertel                          ;194.413;
WK Niederösterreich Mitte               ;194.645;
WK Niederösterreich Süd                 ;159.148;
WK Wien-Umgebung                        ;178.270;
WK Niederösterreich Süd-Ost             ;138.614;
Land Niederösterreich                   ;54,7;
WK Weinviertel                          ;55,58;
WK Waldviertel                          ;58,34;
WK Mostviertel                          ;56,4;
WK Niederösterreich Mitte               ;54,88;
WK Niederösterreich Süd                 ;51,16;
WK Wien-Umgebung                        ;53,11;
WK Niederösterreich Süd-Ost             ;51,88;
Land Niederösterreich                   ;28.872;
WK Weinviertel                          ;5.478;
WK Waldviertel                          ;5.194;
WK Mostviertel                          ;4.990;
WK Niederösterreich Mitte               ;4.546;
WK Niederösterreich Süd                 ;3.323;
WK Wien-Umgebung                        ;2.634;
WK Niederösterreich Süd-Ost             ;2.707;
Land Niederösterreich                   ;673.844;
WK Weinviertel                          ;126.952;
WK Waldviertel                          ;100.618;
WK Mostviertel                          ;104.657;
WK Niederösterreich Mitte               ;102.268;
WK Niederösterreich Süd                 ;78.095;
WK Wien-Umgebung                        ;92.050;
WK Niederösterreich Süd-Ost             ;69.204;
Land Niederösterreich                   ;222.078;OEVP
WK Weinviertel                          ;44.858;OEVP
WK Waldviertel                          ;43.284;OEVP
WK Mostviertel                          ;40.335;OEVP
WK Niederösterreich Mitte               ;31.553;OEVP
WK Niederösterreich Süd                 ;21.862;OEVP
WK Wien-Umgebung                        ;23.242;OEVP
WK Niederösterreich Süd-Ost             ;16.944;OEVP
Land Niederösterreich                   ;32,96;OEVP
WK Weinviertel                          ;35,33;OEVP
WK Waldviertel                          ;43,02;OEVP
WK Mostviertel                          ;38,54;OEVP
WK Niederösterreich Mitte               ;30,85;OEVP
WK Niederösterreich Süd                 ;27,99;OEVP
WK Wien-Umgebung                        ;25,25;OEVP
WK Niederösterreich Süd-Ost             ;24,48;OEVP
Land Niederösterreich                   ;-2,22;OEVP
WK Weinviertel                          ;-2,21;OEVP
WK Waldviertel                          ;-3,71;OEVP
WK Mostviertel                          ;-2,34;OEVP
WK Niederösterreich Mitte               ;-2,22;OEVP
WK Niederösterreich Süd                 ;-0,16;OEVP
WK Wien-Umgebung                        ;-2,69;OEVP
WK Niederösterreich Süd-Ost             ;-0,79;OEVP
Land Niederösterreich                   ;154.919;SPOE
WK Weinviertel                          ;28.399;SPOE
WK Waldviertel                          ;19.377;SPOE
WK Mostviertel                          ;22.078;SPOE
WK Niederösterreich Mitte               ;25.172;SPOE
WK Niederösterreich Süd                 ;20.947;SPOE
WK Wien-Umgebung                        ;20.835;SPOE
WK Niederösterreich Süd-Ost             ;18.111;SPOE
Land Niederösterreich                   ;22,99;SPOE
WK Weinviertel                          ;22,37;SPOE
WK Waldviertel                          ;19,26;SPOE
WK Mostviertel                          ;21,1;SPOE
WK Niederösterreich Mitte               ;24,61;SPOE
WK Niederösterreich Süd                 ;26,82;SPOE
WK Wien-Umgebung                        ;22,63;SPOE
WK Niederösterreich Süd-Ost             ;26,17;SPOE
Land Niederösterreich                   ;-0,23;SPOE
WK Weinviertel                          ;0,37;SPOE
WK Waldviertel                          ;0;SPOE
WK Mostviertel                          ;-0,27;SPOE
WK Niederösterreich Mitte               ;-0,04;SPOE
WK Niederösterreich Süd                 ;-0,77;SPOE
WK Wien-Umgebung                        ;-0,88;SPOE
WK Niederösterreich Süd-Ost             ;-0,52;SPOE
Land Niederösterreich                   ;128.076;FPOE
WK Weinviertel                          ;24.722;FPOE
WK Waldviertel                          ;16.915;FPOE
WK Mostviertel                          ;18.274;FPOE
WK Niederösterreich Mitte               ;19.192;FPOE
WK Niederösterreich Süd                 ;17.157;FPOE
WK Wien-Umgebung                        ;16.287;FPOE
WK Niederösterreich Süd-Ost             ;15.529;FPOE
Land Niederösterreich                   ;19,01;FPOE
WK Weinviertel                          ;19,47;FPOE
WK Waldviertel                          ;16,81;FPOE
WK Mostviertel                          ;17,46;FPOE
WK Niederösterreich Mitte               ;18,77;FPOE
WK Niederösterreich Süd                 ;21,97;FPOE
WK Wien-Umgebung                        ;17,69;FPOE
WK Niederösterreich Süd-Ost             ;22,44;FPOE
Land Niederösterreich                   ;6,54;FPOE
WK Weinviertel                          ;7,15;FPOE
WK Waldviertel                          ;6,93;FPOE
WK Mostviertel                          ;5,31;FPOE
WK Niederösterreich Mitte               ;5,99;FPOE
WK Niederösterreich Süd                 ;7,18;FPOE
WK Wien-Umgebung                        ;5,75;FPOE
WK Niederösterreich Süd-Ost             ;7,82;FPOE
Land Niederösterreich                   ;75.257;GRUENE
WK Weinviertel                          ;12.816;GRUENE
WK Waldviertel                          ;8.884;GRUENE
WK Mostviertel                          ;10.642;GRUENE
WK Niederösterreich Mitte               ;11.850;GRUENE
WK Niederösterreich Süd                 ;7.477;GRUENE
WK Wien-Umgebung                        ;15.477;GRUENE
WK Niederösterreich Süd-Ost             ;8.111;GRUENE
Land Niederösterreich                   ;11,17;GRUENE
WK Weinviertel                          ;10,1;GRUENE
WK Waldviertel                          ;8,83;GRUENE
WK Mostviertel                          ;10,17;GRUENE
WK Niederösterreich Mitte               ;11,59;GRUENE
WK Niederösterreich Süd                 ;9,57;GRUENE
WK Wien-Umgebung                        ;16,81;GRUENE
WK Niederösterreich Süd-Ost             ;11,72;GRUENE
Land Niederösterreich                   ;4,21;GRUENE
WK Weinviertel                          ;3,8;GRUENE
WK Waldviertel                          ;3,71;GRUENE
WK Mostviertel                          ;4,41;GRUENE
WK Niederösterreich Mitte               ;4,58;GRUENE
WK Niederösterreich Süd                 ;4,07;GRUENE
WK Wien-Umgebung                        ;4,54;GRUENE
WK Niederösterreich Süd-Ost             ;4,15;GRUENE
Land Niederösterreich                   ;2.335;BZOE
WK Weinviertel                          ;386;BZOE
WK Waldviertel                          ;343;BZOE
WK Mostviertel                          ;407;BZOE
WK Niederösterreich Mitte               ;358;BZOE
WK Niederösterreich Süd                 ;281;BZOE
WK Wien-Umgebung                        ;291;BZOE
WK Niederösterreich Süd-Ost             ;269;BZOE
Land Niederösterreich                   ;0,35;BZOE
WK Weinviertel                          ;0,3;BZOE
WK Waldviertel                          ;0,34;BZOE
WK Mostviertel                          ;0,39;BZOE
WK Niederösterreich Mitte               ;0,35;BZOE
WK Niederösterreich Süd                 ;0,36;BZOE
WK Wien-Umgebung                        ;0,32;BZOE
WK Niederösterreich Süd-Ost             ;0,39;BZOE
Land Niederösterreich                   ;-2,54;BZOE
WK Weinviertel                          ;-2,09;BZOE
WK Waldviertel                          ;-2,45;BZOE
WK Mostviertel                          ;-2,67;BZOE
WK Niederösterreich Mitte               ;-2,46;BZOE
WK Niederösterreich Süd                 ;-2,87;BZOE
WK Wien-Umgebung                        ;-2,76;BZOE
WK Niederösterreich Süd-Ost             ;-2,8;BZOE
Land Niederösterreich                   ;50.085;NEOS
WK Weinviertel                          ;8.353;NEOS
WK Waldviertel                          ;6.512;NEOS
WK Mostviertel                          ;6.803;NEOS
WK Niederösterreich Mitte               ;7.518;NEOS
WK Niederösterreich Süd                 ;5.087;NEOS
WK Wien-Umgebung                        ;10.206;NEOS
WK Niederösterreich Süd-Ost             ;5.606;NEOS
Land Niederösterreich                   ;7,43;NEOS
WK Weinviertel                          ;6,58;NEOS
WK Waldviertel                          ;6,47;NEOS
WK Mostviertel                          ;6,5;NEOS
WK Niederösterreich Mitte               ;7,35;NEOS
WK Niederösterreich Süd                 ;6,51;NEOS
WK Wien-Umgebung                        ;11,09;NEOS
WK Niederösterreich Süd-Ost             ;8,1;NEOS
Land Niederösterreich                   ;7,43;NEOS
WK Weinviertel                          ;6,58;NEOS
WK Waldviertel                          ;6,47;NEOS
WK Mostviertel                          ;6,5;NEOS
WK Niederösterreich Mitte               ;7,35;NEOS
WK Niederösterreich Süd                 ;6,51;NEOS
WK Wien-Umgebung                        ;11,09;NEOS
WK Niederösterreich Süd-Ost             ;8,1;NEOS
Land Niederösterreich                   ;7.813;REKOS
WK Weinviertel                          ;1.214;REKOS
WK Waldviertel                          ;1.169;REKOS
WK Mostviertel                          ;1.450;REKOS
WK Niederösterreich Mitte               ;1.215;REKOS
WK Niederösterreich Süd                 ;1.087;REKOS
WK Wien-Umgebung                        ;959;REKOS
WK Niederösterreich Süd-Ost             ;719;REKOS
Land Niederösterreich                   ;1,16;REKOS
WK Weinviertel                          ;0,96;REKOS
WK Waldviertel                          ;1,16;REKOS
WK Mostviertel                          ;1,39;REKOS
WK Niederösterreich Mitte               ;1,19;REKOS
WK Niederösterreich Süd                 ;1,39;REKOS
WK Wien-Umgebung                        ;1,04;REKOS
WK Niederösterreich Süd-Ost             ;1,04;REKOS
Land Niederösterreich                   ;1,16;REKOS
WK Weinviertel                          ;0,96;REKOS
WK Waldviertel                          ;1,16;REKOS
WK Mostviertel                          ;1,39;REKOS
WK Niederösterreich Mitte               ;1,19;REKOS
WK Niederösterreich Süd                 ;1,39;REKOS
WK Wien-Umgebung                        ;1,04;REKOS
WK Niederösterreich Süd-Ost             ;1,04;REKOS
Land Niederösterreich                   ;11.399;ANDERE
WK Weinviertel                          ;2.064;ANDERE
WK Waldviertel                          ;1.393;ANDERE
WK Mostviertel                          ;1.533;ANDERE
WK Niederösterreich Mitte               ;1.896;ANDERE
WK Niederösterreich Süd                 ;1.226;ANDERE
WK Wien-Umgebung                        ;1.982;ANDERE
WK Niederösterreich Süd-Ost             ;1.305;ANDERE
Land Niederösterreich                   ;1,69;ANDERE
WK Weinviertel                          ;1,63;ANDERE
WK Waldviertel                          ;1,38;ANDERE
WK Mostviertel                          ;1,46;ANDERE
WK Niederösterreich Mitte               ;1,85;ANDERE
WK Niederösterreich Süd                 ;1,57;ANDERE
WK Wien-Umgebung                        ;2,15;ANDERE
WK Niederösterreich Süd-Ost             ;1,89;ANDERE
Land Niederösterreich                   ;1,69;ANDERE
WK Weinviertel                          ;1,63;ANDERE
WK Waldviertel                          ;1,38;ANDERE
WK Mostviertel                          ;1,46;ANDERE
WK Niederösterreich Mitte               ;1,85;ANDERE
WK Niederösterreich Süd                 ;1,57;ANDERE
WK Wien-Umgebung                        ;2,15;ANDERE
WK Niederösterreich Süd-Ost             ;1,89;ANDERE
Land Niederösterreich                   ;21.882;EUSTOP
WK Weinviertel                          ;4.140;EUSTOP
WK Waldviertel                          ;2.741;EUSTOP
WK Mostviertel                          ;3.135;EUSTOP
WK Niederösterreich Mitte               ;3.514;EUSTOP
WK Niederösterreich Süd                 ;2.971;EUSTOP
WK Wien-Umgebung                        ;2.771;EUSTOP
WK Niederösterreich Süd-Ost             ;2.610;EUSTOP
Land Niederösterreich                   ;3,25;EUSTOP
WK Weinviertel                          ;3,26;EUSTOP
WK Waldviertel                          ;2,72;EUSTOP
WK Mostviertel                          ;3;EUSTOP
WK Niederösterreich Mitte               ;3,44;EUSTOP
WK Niederösterreich Süd                 ;3,8;EUSTOP
WK Wien-Umgebung                        ;3,01;EUSTOP
WK Niederösterreich Süd-Ost             ;3,77;EUSTOP
Land Niederösterreich                   ;3,25;EUSTOP
WK Weinviertel                          ;3,26;EUSTOP
WK Waldviertel                          ;2,72;EUSTOP
WK Mostviertel                          ;3;EUSTOP
WK Niederösterreich Mitte               ;3,44;EUSTOP
WK Niederösterreich Süd                 ;3,8;EUSTOP
WK Wien-Umgebung                        ;3,01;EUSTOP
WK Niederösterreich Süd-Ost             ;3,77;EUSTOP
